"Country","Decade","Year","Population"
"new zealand","2000","2006","4184600"
"oman","2000","2006","2553376"
"pakistan","2000","2006","156524189"
"panama","2000","2006","3378600"
"peru","2000","2006","27949958"
"philippines","2000","2006","87592899"
"palau","2000","2006","20012"
"papua new guinea","2000","2006","6236158"
"poland","2000","2006","38141267"
"puerto rico","2000","2006","3805214"
"korea, dem. rep.","2000","2006","23969897"
"portugal","2000","2006","10522288"
"paraguay","2000","2006","5882797"
"french polynesia","2000","2006","257731"
"qatar","2000","2006","988448"
"romania","2000","2006","21193760"
"russian federation","2000","2006","143049528"
"rwanda","2000","2006","9231041"
"saudi arabia","2000","2006","25419994"
"sudan","2000","2006","32809056"
"senegal","2000","2006","11578430"
"singapore","2000","2006","4401400"
"solomon islands","2000","2006","480716"
"sierra leone","2000","2006","5243214"
"el salvador","2000","2006","5967556"
"san marino","2000","2006","29568"
"somalia","2000","2006","8686939"
"serbia","2000","2006","7411569"
"south sudan","2000","2006","8445659"
"sao tome and principe","2000","2006","156584"
"suriname","2000","2006","495953"
"slovak republic","2000","2006","5373054"
"slovenia","2000","2006","2006868"
"sweden","2000","2006","9080505"
"swaziland","2000","2006","1118204"
"sint maarten (dutch part)","2000","2006","38270"
"seychelles","2000","2006","84600"
"syrian arab republic","2000","2006","18728200"
"turks and caicos islands","2000","2006","27642"
"chad","2000","2006","10423616"
"togo","2000","2006","5732175"
"thailand","2000","2006","66174486"
"tajikistan","2000","2006","6949566"
"turkmenistan","2000","2006","4801594"
"timor-leste","2000","2006","996052"
"tonga","2000","2006","101507"
"trinidad and tobago","2000","2006","1303141"
"tunisia","2000","2006","10127900"
"turkey","2000","2006","68704721"
"tuvalu","2000","2006","9732"
"taiwan, china","2000","2006",NA
"tanzania","2000","2006","40260847"
"uganda","2000","2006","29000925"
"ukraine","2000","2006","46787750"
"uruguay","2000","2006","3331041"
"united states","2000","2006","298379912"
"uzbekistan","2000","2006","26488250"
"st. vincent and the grenadines","2000","2006","108908"
"venezuela, rb","2000","2006","27221228"
"virgin islands (u.s.)","2000","2006","107700"
"vietnam","2000","2006","83311200"
"vanuatu","2000","2006","214635"
"west bank and gaza","2000","2006","3406334"
"samoa","2000","2006","181072"
"yemen, rep.","2000","2006","21093973"
"south africa","2000","2006","47991699"
"congo, dem. rep.","2000","2006","57926840"
"zambia","2000","2006","12381509"
"zimbabwe","2000","2006","13127942"
